Country,Continent,Claiming government benefits to which you are not entitled,Avoiding a fare on public transport,Cheating on taxes,Someone accepting a bribe,Homosexuality,Prostitution,Abortion,Divorce,Suicide
Bangladesh,Asia,1.35,1.16,1.06,1.03,1.05,1.16,1.3,5.44,1.02
Indonesia,Asia,3.88,1.37,1.54,1.45,1.13,1.07,1.29,3.9,1.06
Pakistan,Asia,1.82,1.69,1.58,1.15,1.05,1.07,1.92,2.47,1.09
Jordan,Asia,1.7,1.34,1.56,1.13,1.05,1.07,1.48,6.38,1.1
Uganda,Africa,1.62,1.52,1.73,1.33,1.25,1.65,3.69,5.38,1.16
Algeria,,3.02,2.5,2.01,1.46,1.26,1.25,1.77,4.37,1.23
Iran,Asia,2.7,1.83,1.47,1.26,1.25,1.07,1.84,2.49,1.25
Serbia,Europa,1.82,1.69,1.58,1.74,1.05,1.79,2.45,4.47,1.27
China,Asia,2.13,1.34,1.57,1.34,1.14,1.1,3.31,5.24,1.43
Egypt,Asia,2.13,1.34,1.57,1.34,1.14,1.07,3.31,5.24,1.43
Kyrgyzstan,Asia,2.77,2.86,2.73,1.92,1.05,1.07,2.61,4.58,1.48
Macedonia,Europa,3,2,2.28,1.92,1.05,1.07,2.61,4.58,1.48
Nigeria,Africa,1.82,1.69,1.58,1.91,1.05,1.07,1.68,3.47,1.62
Mexico,America,1.82,1.69,1.58,2.17,1.05,1.07,2.56,3.38,1.71
Albania,Europa,1.92,2.35,1.88,2.38,1.48,1.41,3.88,4.09,1.71
Peru,America,1.82,1.69,1.58,1.73,1.05,1.07,1.81,1.89,1.74
Argentina,America,2.59,2.43,1.87,1.26,4.33,3.38,2.58,5.03,1.98
Singapore,Asia,1.82,1.69,1.58,1.6,1.05,1.65,2.93,4.56,2
Chile,America,3.33,3.41,2.15,2.05,3.98,3.06,2.39,6.06,2.08
Moldova,Europa,1.82,1.69,1.58,2.93,1.05,1.07,3.61,4.53,2.24
Montenegro,Europa,1.82,1.69,1.58,2.93,1.05,1.07,3.61,4.53,2.24
Vietnam,Asia,2.63,2.66,2.55,1.33,1.45,1.65,3.69,5.38,2.54
Zimbabwe,Africa,2.63,2.66,2.55,1.33,1.45,1.65,3.69,5.38,2.54
Venezuela,America,2.98,2.86,1.82,1.33,1.45,1.65,3.69,5.38,2.54
Philippines,Asia,1.82,1.69,1.58,3.21,1.05,1.07,2.75,3.83,2.57
United States,America,2.18,2.65,2.28,1.33,4.75,1.65,3.69,5.38,2.67
India,Asia,2.34,2.11,2.14,1.88,3.08,1.07,3.19,2.92,2.73
Canada,America,1.87,2.25,2.08,1.6,5.44,3.44,4.64,5.44,2.82
Japan,Asia,2.09,1.62,1.46,1.53,4.36,1.07,4.73,6.48,3.03
Spain,Europa,1.82,1.69,1.58,1.63,6.17,1.65,4.87,1.97,3.14
Tanzania,Africa,1.62,1.52,1.73,1.33,7.65,1.65,3.69,5.38,4.12